Date,Name,Nationality,Cause of death
3 May 2019,Wui Kin Chin,Malaysia,Hypothermia/Frostbite
24 March 2015,Samuli Mansikka,Finland,Fall
24 March 2015,Pemba Sherpa,Nepal,Fall
7 October 2012,Ivan Lobanov,Uzbekistan,Avalanche
7 October 2012,Iljas Tukhvatullin,Uzbekistan,Avalanche
5 May 2012,Tibor Horváth,Hungary,Avalanche
18 October 2011,Young-seok Park,South Korea,Unknown
18 October 2011,Dong-min Shin,South Korea,Unknown
18 October 2011,Ki-seok Kang,South Korea,Unknown
29 April 2010,Tolo Calafat,Spain,Unknown
April 2009,Martin Minařík,Czech Republic,Fell into Crevasse
23 May 2008,Iñaki Ochoa de Olza,Spain,HACE
22 April 2007,Udhav Prasad Khanal,Nepal,Unknown
22 October 2006,Lhakpa Rita II,Nepal,Avalanche
18 May 2005,Christian Kuntner,Italy,Avalanche
10 October 2004,Hideji Nazuka,Japan,Avalanche
10 October 2004,Michio Sato,Japan,Avalanche
29 April 1999,Hyun-ok Ji,South Korea,Unknown
29 April 1999,Dorje Kami,Nepal,Unknown
26 April 1998,Ang Tshering,Nepal,Avalanche
25 December 1997,Anatoli Boukreev,Kazakhstan,Avalanche
25 December 1997,Dmitri Sobolev,Kazakhstan,Avalanche
23 March 1997,Ngati,Nepal,Fall
11 October 1992,Pierre Béghin,France,Fall
20 October 1991,Gabriel Denamur,Belgium,Unknown
19 September 1991,Seog-jee Lee,South Korea,Avalanche
19 September 1991,Song-gu Lee,South Korea,Avalanche
19 September 1991,Sange Dawa,Nepal,Avalanche
19 September 1991,Tendi Lhakpa,Nepal,Avalanche
19 September 1991,Jangbu Nurbu,Nepal,Avalanche
19 September 1991,Tenzing,Nepal,Avalanche
28 October 1989,Milan Metkov,Bulgaria,Unknown
28 October 1989,Ognian Stoykov,Bulgaria,Unknown
18 October 1988,Ramiro Navarrete,Ecuador,Fall
1 October 1988,Jiri Pelikan,Czechoslovakia,Fall on descent
29 September 1988,Akihiro Mori,Japan,Avalanche
29 September 1988,Ang Dawa,Japan,Avalanche
20 December 1987,Toshiyuki Kobayashi,Japan,Fall
20 December 1987,Yasuhira Saito,Japan,Fall
24 May 1987,Andres Ferrer,Spain,Fall
23 September 1986,Benoit Grison,France,Fall
7 December 1984,Pasang Norbu,Nepal,Unknown
7 December 1984,Keepa,Nepal,Unknown
21 April 1984,Philippe Dumas,France,Avalanche
21 April 1984,Patrick Taglianut,France,Avalanche
24 September 1983,Yang-kun Chung,South Korea,Avalanche
24 September 1983,Magar Maila,Nepal,Avalanche
24 September 1983,Rama Magar Tika,Nepal,Avalanche
18 October 1982,Susumu Akimatsu,Japan,Avalanche
18 October 1982,Miko Ono,Japan,Avalanche
17 October 1982,Alex MacIntyre,United Kingdom,Rock fall
12 May 1982,Rai Shanti,Nepal,Fall
4 May 1982,Werner Bürkli,Switzerland,Heart attack
31 October 1981,Yasuji Kato,Japan,Fall
28 September 1981,Andre Durieux,France,Avalanche
28 September 1981,Yves Favre,France,Avalanche
27 September 1981,Ang Nima,Nepal,Avalanche
27 September 1981,Pemba Tshering,Nepal,Avalanche
19 September 1979,Eric Roberts,United Kingdom,Avalanche
19 September 1979,Maynard Cohick,United States,Avalanche
19 September 1979,Gil Harder,United States,Avalanche
1 May 1979,Yves Morin,France,Exhaustion
17 October 1978,Alison Chadwick-Onyszkiewicz,United Kingdom,Fall
17 October 1978,Vera Watson,United States,Fall
16 April 1975,Franz Tegischer,Austria,Avalanche
26 September 1973,Leo Cerruti,Italy,Avalanche
26 September 1973,Miller Rava,Italy,Avalanche
18 May 1973,Tadashi Ushigoe,Japan,Avalanche
18 May 1973,Sadatoshi Takahashi,Japan,Avalanche
18 May 1973,Masanori Hama,Japan,Avalanche
18 May 1973,Kazumi Katagiri,Japan,Avalanche
18 May 1973,Rinje,Nepal,Avalanche
30 May 1970,Ian Clough,United Kingdom,Serac fall
